### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
A	A	DIS
girl	girl	CON
is	is	NOW
styling	styling	EXG
her	her	HAS
hair	hair	CON

# newdoc id = p02/d0177
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She got in at 9 p.m.
She	She	PRO
got	got	EPS
in	in	REL
at	at	REL
9~p.m.	9~p.m.	CLO

# newdoc id = p02/d0209
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I got a lot of mosquito bites.
I	I	PRO
got	got	EPS
a	a	DIS
lot	lot	QUV
of	of	REL
mosquito	mosquito	CON
bites	bites	CON
.	.	NIL

# newdoc id = p02/d0712
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Kraft sold Celestial Seasonings.
Kraft	Kraft	ORG
sold	sold	EPS
Celestial~Seasonings	Celestial~Seasonings	ORG
.	.	NIL

# newdoc id = p02/d0713
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = 9 people were assassinated by Raman Raghav.
9	9	QUC
people	people	CON
were	were	PST
assassinated	assassinated	EXS
by	by	REL
Raman~Raghav	Raman~Raghav	PER
.	.	NIL

# newdoc id = p02/d0716
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Charles de Gaulle died in 1970.
Charles~de~Gaulle	Charles~de~Gaulle	PER
died	died	EPS
in	in	REL
1970	1970	YOC
.	.	NIL

# newdoc id = p02/d0781
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Our plane was flying above the clouds.
Our	Our	HAS
plane	plane	CON
was	was	PST
flying	flying	EXG
above	above	REL
the	the	DEF
clouds	clouds	CON
.	.	NIL

# newdoc id = p02/d0818
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I stretched out my hand for the book.
I	I	PRO
stretched	stretched	EPS
out	out	REL
my	my	HAS
hand	hand	CON
for	for	REL
the	the	DEF
book	book	CON
.	.	NIL

# newdoc id = p02/d0820
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I came upon an old friend of mine on the train.
I	I	PRO
came	came	EPS
upon	upon	REL
an	an	DIS
old	old	IST
friend	friend	ROL
of	of	REL
mine	mine	PRO
on	on	REL
the	the	DEF
train	train	CON
.	.	NIL

# newdoc id = p02/d0830
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everyone knows the law.
Everyone	Everyone	AND
knows	knows	ENS
the	the	DEF
law	law	CON
.	.	NIL

# newdoc id = p02/d0839
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He speaks English and French.
He	He	PRO
speaks	speaks	ENS
English	English	CON
and	and	GRP
French	French	CON
.	.	NIL

# newdoc id = p02/d0850
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She said that she takes a shower every morning.
She	She	PRO
said	said	EPS
that	that	SUB
she	she	PRO
takes	takes	ENS
a	a	DIS
shower	shower	CON
every	every	AND
morning	morning	CON
.	.	NIL

# newdoc id = p02/d0874
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I dove into the river.
I	I	PRO
dove	dove	EPS
into	into	REL
the	the	DEF
river	river	CON
.	.	NIL

# newdoc id = p02/d0885
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He who thinks he has learned enough has learned nothing.
He	He	DIS
who	who	IMP
thinks	thinks	ENS
he	he	PRO
has	has	NOW
learned	learned	EXT
enough	enough	CON
has	has	NOW
learned	learned	EXT
nothing	nothing	NOT
.	.	NIL

# newdoc id = p02/d0897
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She insulted him.
She	She	PRO
insulted	insulted	EPS
him	him	PRO
.	.	NIL

# newdoc id = p02/d0900
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Helsinki is the capital of Finland.
Helsinki	Helsinki	GPE
is	is	ENS
the	the	DEF
capital	capital	CON
of	of	REL
Finland	Finland	GPE
.	.	NIL

# newdoc id = p02/d0917
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary was kidnapped by pirates.
Mary	Mary	PER
was	was	PST
kidnapped	kidnapped	EXS
by	by	REL
pirates	pirates	ROL
.	.	NIL

# newdoc id = p02/d0924
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = One cannot survive without money.
One	One	AND
can	can	POS
not	not	NOT
survive	survive	EXS
without	without	NOT
money	money	CON
.	.	NIL

# newdoc id = p02/d0926
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mr. White's yard is large.
Mr.	Mr.	ROL
White	White	PER
's	's	HAS
yard	yard	CON
is	is	NOW
large	large	DEG
.	.	NIL

# newdoc id = p02/d0932
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I just received your letter.
I	I	PRO
just	just	IST
received	received	EPS
your	your	HAS
letter	letter	CON
.	.	NIL

# newdoc id = p02/d0935
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We bought a new washing machine.
We	We	PRO
bought	bought	EPS
a	a	DIS
new	new	IST
washing~machine	washing~machine	CON
.	.	NIL

# newdoc id = p02/d0945
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I was at school.
I	I	PRO
was	was	EPS
at	at	REL
school	school	CON
.	.	NIL

# newdoc id = p02/d0951
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everyone wants to meet you.
Everyone	Everyone	AND
wants	wants	ENS
to	to	NIL
meet	meet	EXS
you	you	PRO
.	.	NIL

# raw sent = You're famous!
You	You	PRO
're	're	NOW
famous	famous	IST
!	!	EMP

# newdoc id = p02/d0958
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Would you like a plastic bag or a paper bag?
Would	Would	FUT
you	you	PRO
like	like	EXS
a	a	DIS
plastic~bag	plastic~bag	CON
or	or	DIS
a	a	DIS
